platform,rating,text,date,thumbsUp,reviewer
Just Eat,1,"app works but no option to tip riders, food goes missing half the time, stay away from this app",2025-04-27 23:45:53,0,Solti Daniel
Just Eat,1,"Please use any other delivery app - They will take your money, not deliver your food and then tell you there's nothing they can do. Absolute joke, Don't know why they even bother a customer service number.",2025-04-27 00:22:21,0,Eoin McG
Just Eat,2,the app and website doesn't work properly when you get to the checkout and all so will not use my address or eir code so they deliver to the neighbours,2025-04-26 20:51:17,0,NOD King
Just Eat,4,did somebody say just eat,2025-04-25 20:26:05,0,Ry an is cool (Ryan)
Just Eat,1,"I've ordered from this app several times and there's always been something wrong with it being late, cold or just cancelled all together. The options are fairly limited and the app expects you to pay a tip before you have even gotten your food. Just use deliveroo instead.",2025-04-24 22:48:41,2,Conor Twomey
Just Eat,5,Great food and quick service.,2025-04-23 01:20:12,0,Eamonn Moroney
Just Eat,1,"order was never delivered due to driver error and just eat refuses to refund payment. or give any kind of compensation, terrible customer support. this would be a great service if there were more protections for the consumer as it's because of driver error that most problems arise but it's still the consumer that loses in the end. came back to edit this as a similar case just occurred. driver was outside, claimed to not be the driver and right after he left the order was completed. food stolen",2025-04-22 23:50:03,1,Andrew miller
Just Eat,5,Excellent - Very quick & to the point,2025-04-22 21:52:43,1,Mark Carey
Just Eat,1,use to love this app. won't let you pay by card anymore and was waiting on chat for ages for a reply but never got one. serious decline in standards,2025-04-21 22:47:24,0,andrew lynch
Just Eat,1,"recieved easter €5 off voucher when ordering the app wouldn't allow me to click into card security code field to pay, exited app and returned to be told voucher code had 'been used'...... magically no problem paying at full price. Not the first instance of non working scam vouchers, will be deleting app as soon as order is delivered",2025-04-21 22:10:47,2,Ian Coleman
Just Eat,5,very polite,2025-04-21 01:24:56,0,Phyllis Keane
Just Eat,3,First Burger King I ordered from let me go through an entire order for 4 people then when I went to pay said they were not taking orders. That should have been advised before I went through the order 😕,2025-04-20 01:29:53,0,TheNowandThenCompany
Just Eat,5,amazing,2025-04-19 20:59:29,0,Latifah
Just Eat,1,have a 25er gift card that cant be used even though it hasnt expired,2025-04-18 23:49:40,0,M b
Just Eat,1,always something missing from the order and I know it isn't the restaurants fault. as they never make a mistake when I order from them. Save your money and drive to the restaurant it saves you a lot of grief.,2025-04-18 23:45:29,1,Anita Healy
Just Eat,2,cold chips..pizza too cheesy & flavourless,2025-04-18 02:04:42,0,Helen English
Just Eat,1,Unbelievable,2025-04-16 21:13:11,0,ursula tansey
Just Eat,1,won't let me use voucher code on restaurant,2025-04-14 00:07:24,0,Rdwn Morroco
Just Eat,4,"great app for ordering , easy payment and quick delivery 👌",2025-04-13 23:49:47,0,Natan Sprinceana
Just Eat,2,the just eat app is good but it said I'd get 90 euros of eat fresh credit if I joined today which I did but the credit was not applied,2025-04-13 17:12:57,0,Meg McCarthy
